date,revenue,units_sold,region,product_category
2024-01-01,120000,1200,North,Electronics
2024-02-01,135000,1350,South,Electronics
2024-03-01,128000,1280,East,Accessories
2024-04-01,145000,1450,West,Electronics
2024-05-01,158000,1580,North,Electronics
2024-06-01,162000,1620,South,Accessories
2024-07-01,175000,1750,East,Electronics
2024-08-01,168000,1680,West,Accessories
2024-09-01,182000,1820,North,Electronics
2024-10-01,195000,1950,South,Electronics
2024-11-01,188000,1880,East,Accessories
2024-12-01,210000,2100,West,Electronics
2024-01-15,98000,980,North,Accessories
2024-02-15,112000,1120,South,Electronics
2024-03-15,105000,1050,East,Electronics
2024-04-15,132000,1320,West,Accessories
2024-05-15,145000,1450,North,Electronics
2024-06-15,138000,1380,South,Electronics
2024-07-15,156000,1560,East,Accessories
2024-08-15,149000,1490,West,Electronics
